Model,Dataset,Balancing,Task,N_runs,F1_min,F1_max,F1_median,F1_mean,F1_std,Precision_min,Precision_max,Precision_median,Precision_mean,Precision_std,Accuracy_min,Accuracy_max,Accuracy_median,Accuracy_mean,Accuracy_std,Recall_min,Recall_max,Recall_median,Recall_mean,Recall_std,ROC_AUC_min,ROC_AUC_max,ROC_AUC_median,ROC_AUC_mean,ROC_AUC_std
RF,Static,No SMOTE,Binary,30,0.9788949588402491,0.9792288118419842,0.9790743778528739,0.9790838312751113,8.474045990955946e-05,0.9847237397553815,0.9852210418214942,0.9849890632240237,0.9849895604296943,0.0001328199340378348,0.9770615266568006,0.9774248562351471,0.9772536715207036,0.9772653171222065,9.249468204233152e-05,0.9729966248449587,0.9734950394458805,0.973271396558822,0.9732492452252334,0.00010822745290470324,0.9965423609206813,0.9966748249283188,0.9966184841383994,0.9966210824903576,2.998381633125194e-05
RF,Static,SMOTE,Binary,30,0.9788750984088009,0.9792979161487683,0.9790827984467838,0.9790783185290635,0.00012038745356573308,0.9847671178100056,0.9853738191394037,0.9850736116371954,0.9850837882060476,0.00015329293369406607,0.977040565408906,0.9775017106657169,0.9772676486456382,0.9772615907086484,0.00013111070664878163,0.972798550964739,0.973373623487445,0.9731467911222551,0.9731463683491676,0.00013144153022335949,0.9965308436428282,0.9966523501190162,0.9965974002939006,0.9965969567761851,3.1680037894987646e-05
MLP,Static,No SMOTE,Binary,30,0.9745963073836507,0.9756139257834416,0.9752854335457053,0.9752080815010408,0.00025784891929309225,0.9803491134746114,0.9835625883477228,0.9816519341981031,0.9817603881604213,0.0009125256055638229,0.972464055027638,0.9735155952499618,0.973148782046725,0.973070876609345,0.00027872429396408224,0.9661403733769731,0.9700764988868062,0.9688336743194338,0.9687499614100299,0.0009344750726430842,0.9943600534552648,0.9951965935183967,0.9947927514700411,0.9947909863718717,0.00018792004545457248
MLP,Static,SMOTE,Binary,30,0.9748990735280902,0.9758186466730429,0.9754043675314192,0.9753894270010224,0.00022824764701272372,0.9806749826404015,0.9835465491264994,0.9825700882565342,0.9824673576719554,0.0006055677297102163,0.9727644941496436,0.9737461771540389,0.973312978976759,0.9732818854979183,0.000242617200599686,0.9671755106140536,0.9699550674127633,0.9683991521741194,0.9684179034256182,0.0007322390771062262,0.9942058462365626,0.994986796039084,0.9946539168817268,0.9946584328481354,0.0002001526491075326
XGB,Static,No SMOTE,Binary,30,0.9668196426635728,0.9671990609758148,0.9670184657713006,0.967028887463165,0.00010306138920897991,0.973667124626785,0.9740907800744634,0.9738389303232206,0.973837861017632,9.546746018344539e-05,0.963971298104157,0.9643800394784297,0.9641878957129613,0.9641976775411775,0.00011008739493202029,0.9599677908234776,0.9606131690557131,0.9602904814707408,0.9603154022518251,0.0001741905045551592,0.9930644756282397,0.9931767269774381,0.9931257412445081,0.9931265751477004,2.2019613782571386e-05
XGB,Static,SMOTE,Binary,30,0.9667133938494239,0.967132078777011,0.9670061762401884,0.9669870300314668,0.00010899468962811245,0.9746264299322902,0.9751200361403554,0.9749408922396348,0.9749089235303826,0.00011872033928247378,0.9638979326075793,0.9643451044924409,0.9642140991188102,0.9641925537192296,0.00011647336225741297,0.9587473402726889,0.959635517553205,0.9592074063140561,0.9591937767238051,0.00018928215912594813,0.9930356171100749,0.9931309727800844,0.9930854534975933,0.9930844536835812,2.4328517645864126e-05
RF,Dynamic,No SMOTE,Multi-class,30,0.8350692431256939,0.841221292675697,0.8390583627800088,0.8386845525465484,0.0015457969824523858,0.8436042393657326,0.8496383735494268,0.8471895004652517,0.847132814168893,0.0015030180698899975,0.8371609067261241,0.8431809736157563,0.8409884801189149,0.8407456955283042,0.0015365510298034743,0.8371609067261241,0.8431809736157563,0.8409884801189149,0.8407456955283042,0.0015365510298034743,,,,,
RF,Dynamic,SMOTE,Multi-class,30,0.8448298094083156,0.8511700616724589,0.8474163286854104,0.8476310072239935,0.001425156054149378,0.8484760141951379,0.8546696856574396,0.850855169046961,0.8511418789321742,0.0013982638575680368,0.8446674098848013,0.8510590858416945,0.8472315124489038,0.8474445683141336,0.001450964306844262,0.8446674098848013,0.8510590858416945,0.8472315124489038,0.8474445683141336,0.001450964306844262,,,,,
MLP,Dynamic,No SMOTE,Multi-class,30,0.7761750831801959,0.7921225049840641,0.7856977555859459,0.7858228280942462,0.004230189694166546,0.7782303244907848,0.7960328595893118,0.7891405851947066,0.7891306677477677,0.004531980543476523,0.7829803047194351,0.7974730583426236,0.7914901523597175,0.7914480366654278,0.0038179723360462076,0.7829803047194351,0.7974730583426236,0.7914901523597175,0.7914480366654278,0.0038179723360462076,,,,,
MLP,Dynamic,SMOTE,Multi-class,30,0.7913686824332065,0.8029022910849152,0.796459326373423,0.7969802489060585,0.003259800865511962,0.7991504314925977,0.8074822512269894,0.8025510546215178,0.8028855830956814,0.002450881405887847,0.7887774061687105,0.8015607580824973,0.7945373467112598,0.7950006193484456,0.00360235134697739,0.7887774061687105,0.8015607580824973,0.7945373467112598,0.7950006193484456,0.00360235134697739,,,,,
XGB,Dynamic,No SMOTE,Multi-class,30,0.8138112823190797,0.8196663972788585,0.8169551514941163,0.8169528748519889,0.0012598110556041485,0.8188564309508095,0.824339659881678,0.8218434988893863,0.8219528746665499,0.0012237004634423024,0.81620215533259,0.8216276477146044,0.8193236714975847,0.8193088071348942,0.001217545595804982,0.81620215533259,0.8216276477146044,0.8193236714975847,0.8193088071348942,0.001217545595804982,,,,,
XGB,Dynamic,SMOTE,Multi-class,30,0.8041760054162304,0.81295775650605,0.8095770069584574,0.8094582625262727,0.001684184309541209,0.8090443648055198,0.8177398695719825,0.8141716600678164,0.8141660548953261,0.0017427432859383044,0.8024526198439241,0.8111482720178372,0.8079524340393904,0.8077294685990337,0.0016668073373261399,0.8024526198439241,0.8111482720178372,0.8079524340393904,0.8077294685990337,0.0016668073373261399,,,,,
