Seed,Model,Technique,Static_ms,Dynamic_ms
42,RF,Baseline,0.0229,0.0198
42,MLP,Baseline,32.1213,32.3822
42,XGB,Baseline,0.0157,0.0261
42,MLP,Quant INT8,0.0046,0.0039
42,RF,Quant INT8,0.0223,0.0227
42,XGB,Quant INT8,0.0158,0.0306
42,MLP,Prune 25%,31.2126,31.1109
42,MLP,Prune 50%,30.9196,32.3653
42,MLP,Prune 75%,30.8215,30.9899
42,RF,Prune 50%,0.0207,0.021
42,RF,Prune 75%,0.0158,0.0135
42,RF,Prune 87%,0.0125,0.0114
42,XGB,Prune 67%,0.0215,0.0199
42,XGB,Prune 83%,0.0143,0.0224
42,XGB,Prune 92%,0.0103,0.0174
42,MLP,Distillation,31.1484,30.8313
43,RF,Baseline,0.0218,0.0231
43,MLP,Baseline,31.5768,31.4512
43,XGB,Baseline,0.017,0.0263
43,MLP,Quant INT8,0.0048,0.0038
43,RF,Quant INT8,0.0223,0.0245
43,XGB,Quant INT8,0.0231,0.033
43,MLP,Prune 25%,29.6278,29.8746
43,MLP,Prune 50%,30.4666,32.4097
43,MLP,Prune 75%,34.4045,33.2376
43,RF,Prune 50%,0.0219,0.0229
43,RF,Prune 75%,0.0154,0.0138
43,RF,Prune 87%,0.0117,0.0115
43,XGB,Prune 67%,0.0175,0.0241
43,XGB,Prune 83%,0.0111,0.0195
43,XGB,Prune 92%,0.0135,0.0173
43,MLP,Distillation,31.7504,32.2446
44,RF,Baseline,0.0227,0.0277
44,MLP,Baseline,31.9095,32.4999
44,XGB,Baseline,0.0223,0.0243
44,MLP,Quant INT8,0.0047,0.0038
44,RF,Quant INT8,0.0179,0.0238
44,XGB,Quant INT8,0.0213,0.0342
44,MLP,Prune 25%,32.4215,32.6368
44,MLP,Prune 50%,33.2142,33.1599
44,MLP,Prune 75%,32.371,33.7133
44,RF,Prune 50%,0.0171,0.022
44,RF,Prune 75%,0.0148,0.0133
44,RF,Prune 87%,0.0118,0.0114
44,XGB,Prune 67%,0.0226,0.0273
44,XGB,Prune 83%,0.0144,0.0182
44,XGB,Prune 92%,0.0135,0.0212
44,MLP,Distillation,32.3216,32.0747
45,RF,Baseline,0.0217,0.0224
45,MLP,Baseline,32.2413,32.8429
45,XGB,Baseline,0.0161,0.0276
45,MLP,Quant INT8,0.0051,0.0075
45,RF,Quant INT8,0.0175,0.0245
45,XGB,Quant INT8,0.0212,0.0315
45,MLP,Prune 25%,31.9861,32.2611
45,MLP,Prune 50%,32.4353,31.9206
45,MLP,Prune 75%,32.0882,31.7731
45,RF,Prune 50%,0.0165,0.0212
45,RF,Prune 75%,0.0145,0.0137
45,RF,Prune 87%,0.0119,0.0114
45,XGB,Prune 67%,0.0161,0.0199
45,XGB,Prune 83%,0.0148,0.0227
45,XGB,Prune 92%,0.0112,0.0174
45,MLP,Distillation,31.3523,31.5591
46,RF,Baseline,0.02,0.0224
46,MLP,Baseline,32.6656,32.7627
46,XGB,Baseline,0.02,0.0318
46,MLP,Quant INT8,0.0046,0.0038
46,RF,Quant INT8,0.021,0.0224
46,XGB,Quant INT8,0.0216,0.0365
46,MLP,Prune 25%,32.4825,31.924
46,MLP,Prune 50%,32.0933,32.2936
46,MLP,Prune 75%,32.9399,33.3058
46,RF,Prune 50%,0.0172,0.0168
46,RF,Prune 75%,0.0141,0.0135
46,RF,Prune 87%,0.011,0.0111
46,XGB,Prune 67%,0.0209,0.0252
46,XGB,Prune 83%,0.0145,0.0177
46,XGB,Prune 92%,0.0104,0.0216
46,MLP,Distillation,32.8655,32.4687
47,RF,Baseline,0.0232,0.0279
47,MLP,Baseline,34.9264,33.0593
47,XGB,Baseline,0.0163,0.0267
47,MLP,Quant INT8,0.0047,0.0037
47,RF,Quant INT8,0.0178,0.0232
47,XGB,Quant INT8,0.0159,0.0371
47,MLP,Prune 25%,33.3921,33.1103
47,MLP,Prune 50%,33.3195,32.9702
47,MLP,Prune 75%,33.2805,33.285
47,RF,Prune 50%,0.021,0.0214
47,RF,Prune 75%,0.0144,0.014
47,RF,Prune 87%,0.0119,0.0115
47,XGB,Prune 67%,0.0221,0.0202
47,XGB,Prune 83%,0.0113,0.0217
47,XGB,Prune 92%,0.0103,0.0171
47,MLP,Distillation,33.0427,32.9175
48,RF,Baseline,0.0178,0.025
48,MLP,Baseline,33.3339,35.0954
48,XGB,Baseline,0.0163,0.0309
48,MLP,Quant INT8,0.0047,0.0038
48,RF,Quant INT8,0.0217,0.0236
48,XGB,Quant INT8,0.0161,0.0265
48,MLP,Prune 25%,33.8871,33.3057
48,MLP,Prune 50%,33.5736,33.4673
48,MLP,Prune 75%,33.2311,33.0572
48,RF,Prune 50%,0.0197,0.021
48,RF,Prune 75%,0.0147,0.0136
48,RF,Prune 87%,0.0118,0.0113
48,XGB,Prune 67%,0.0167,0.0196
48,XGB,Prune 83%,0.0143,0.0223
48,XGB,Prune 92%,0.0135,0.0211
48,MLP,Distillation,33.1849,33.0034
49,RF,Baseline,0.0192,0.0202
49,MLP,Baseline,33.9539,33.4451
49,XGB,Baseline,0.0204,0.0317
49,MLP,Quant INT8,0.0046,0.0038
49,RF,Quant INT8,0.0207,0.0227
49,XGB,Quant INT8,0.02,0.026
49,MLP,Prune 25%,33.7858,33.9731
49,MLP,Prune 50%,33.8646,33.7972
49,MLP,Prune 75%,33.3063,33.2307
49,RF,Prune 50%,0.0204,0.0208
49,RF,Prune 75%,0.0155,0.0136
49,RF,Prune 87%,0.012,0.0116
49,XGB,Prune 67%,0.0152,0.0215
49,XGB,Prune 83%,0.0143,0.0172
49,XGB,Prune 92%,0.0142,0.0222
49,MLP,Distillation,33.6811,33.4269
50,RF,Baseline,0.0233,0.0184
50,MLP,Baseline,33.9692,33.7244
50,XGB,Baseline,0.0159,0.0306
50,MLP,Quant INT8,0.0047,0.0038
50,RF,Quant INT8,0.0185,0.022
50,XGB,Quant INT8,0.0219,0.0312
50,MLP,Prune 25%,33.8997,33.8842
50,MLP,Prune 50%,35.5561,33.2936
50,MLP,Prune 75%,33.2036,33.2322
50,RF,Prune 50%,0.0213,0.021
50,RF,Prune 75%,0.0151,0.014
50,RF,Prune 87%,0.0122,0.0122
