Model,Technique,Static_Mean,Static_Std,Dynamic_Mean,Dynamic_Std
MLP,Baseline,34.482,1.542,34.36,1.436
MLP,Distillation,34.685,1.892,34.239,1.569
MLP,Prune 25%,34.582,1.946,34.347,1.783
MLP,Prune 50%,34.259,1.494,34.535,1.589
MLP,Prune 75%,34.434,1.475,34.416,1.343
MLP,Quant INT8,0.005,0.0,0.004,0.001
RF,Baseline,0.022,0.002,0.023,0.003
RF,Prune 50%,0.019,0.002,0.02,0.002
RF,Prune 75%,0.015,0.0,0.014,0.0
RF,Prune 87%,0.012,0.0,0.012,0.001
RF,Quant INT8,0.02,0.002,0.022,0.002
XGB,Baseline,0.018,0.002,0.028,0.003
XGB,Prune 67%,0.017,0.003,0.022,0.002
XGB,Prune 83%,0.014,0.001,0.021,0.003
XGB,Prune 92%,0.012,0.001,0.02,0.003
XGB,Quant INT8,0.019,0.003,0.029,0.004
