Seed,Baseline,Compressed,Agreement
42,RF Baseline,RF Pruned 50%,90.89385474860336
42,RF Baseline,RF Pruned 75%,85.02793296089386
42,RF Baseline,RF Pruned 87%,78.26815642458101
42,MLP Baseline,MLP Quantized,97.82122905027933
42,MLP Baseline,MLP Pruned 25%,89.60893854748603
42,MLP Baseline,MLP Pruned 50%,89.60893854748603
42,MLP Baseline,MLP Pruned 75%,89.60893854748603
42,MLP Baseline,MLP Distilled,77.82122905027933
43,RF Baseline,RF Pruned 50%,91.39664804469274
43,RF Baseline,RF Pruned 75%,84.97206703910615
43,RF Baseline,RF Pruned 87%,76.92737430167598
43,MLP Baseline,MLP Quantized,97.37430167597766
43,MLP Baseline,MLP Pruned 25%,82.3463687150838
43,MLP Baseline,MLP Pruned 50%,83.0167597765363
43,MLP Baseline,MLP Pruned 75%,83.0167597765363
43,MLP Baseline,MLP Distilled,65.64245810055866
44,RF Baseline,RF Pruned 50%,89.21787709497207
44,RF Baseline,RF Pruned 75%,83.29608938547486
44,RF Baseline,RF Pruned 87%,76.31284916201118
44,MLP Baseline,MLP Quantized,98.04469273743017
44,MLP Baseline,MLP Pruned 25%,85.2513966480447
44,MLP Baseline,MLP Pruned 50%,85.2513966480447
44,MLP Baseline,MLP Pruned 75%,85.2513966480447
44,MLP Baseline,MLP Distilled,71.62011173184356
45,RF Baseline,RF Pruned 50%,88.10055865921788
45,RF Baseline,RF Pruned 75%,83.0167597765363
45,RF Baseline,RF Pruned 87%,77.70949720670392
45,MLP Baseline,MLP Quantized,97.54189944134079
45,MLP Baseline,MLP Pruned 25%,90.6145251396648
45,MLP Baseline,MLP Pruned 50%,90.6145251396648
45,MLP Baseline,MLP Pruned 75%,90.6145251396648
45,MLP Baseline,MLP Distilled,70.83798882681565
46,RF Baseline,RF Pruned 50%,90.0
46,RF Baseline,RF Pruned 75%,84.97206703910615
46,RF Baseline,RF Pruned 87%,75.9217877094972
46,MLP Baseline,MLP Quantized,97.93296089385476
46,MLP Baseline,MLP Pruned 25%,87.82122905027933
46,MLP Baseline,MLP Pruned 50%,86.4804469273743
46,MLP Baseline,MLP Pruned 75%,86.4804469273743
46,MLP Baseline,MLP Distilled,71.56424581005587
47,RF Baseline,RF Pruned 50%,89.16201117318435
47,RF Baseline,RF Pruned 75%,83.35195530726257
47,RF Baseline,RF Pruned 87%,74.18994413407822
47,MLP Baseline,MLP Quantized,97.43016759776536
47,MLP Baseline,MLP Pruned 25%,92.01117318435755
47,MLP Baseline,MLP Pruned 50%,92.01117318435755
47,MLP Baseline,MLP Pruned 75%,92.01117318435755
47,MLP Baseline,MLP Distilled,71.34078212290504
48,RF Baseline,RF Pruned 50%,90.44692737430168
48,RF Baseline,RF Pruned 75%,82.90502793296089
48,RF Baseline,RF Pruned 87%,76.14525139664804
48,MLP Baseline,MLP Quantized,97.76536312849163
48,MLP Baseline,MLP Pruned 25%,87.87709497206704
48,MLP Baseline,MLP Pruned 50%,87.87709497206704
48,MLP Baseline,MLP Pruned 75%,87.87709497206704
48,MLP Baseline,MLP Distilled,70.83798882681565
49,RF Baseline,RF Pruned 50%,91.56424581005587
49,RF Baseline,RF Pruned 75%,86.81564245810056
49,RF Baseline,RF Pruned 87%,80.78212290502793
49,MLP Baseline,MLP Quantized,97.09497206703911
49,MLP Baseline,MLP Pruned 25%,87.98882681564247
49,MLP Baseline,MLP Pruned 50%,90.55865921787709
49,MLP Baseline,MLP Pruned 75%,90.55865921787709
49,MLP Baseline,MLP Distilled,73.57541899441341
50,RF Baseline,RF Pruned 50%,91.89944134078212
50,RF Baseline,RF Pruned 75%,85.36312849162012
50,RF Baseline,RF Pruned 87%,78.26815642458101
50,MLP Baseline,MLP Quantized,97.43016759776536
50,MLP Baseline,MLP Pruned 25%,88.60335195530726
50,MLP Baseline,MLP Pruned 50%,91.1731843575419
50,MLP Baseline,MLP Pruned 75%,91.1731843575419
50,MLP Baseline,MLP Distilled,74.18994413407822
51,RF Baseline,RF Pruned 50%,90.72625698324023
51,RF Baseline,RF Pruned 75%,84.63687150837988
51,RF Baseline,RF Pruned 87%,76.25698324022346
51,MLP Baseline,MLP Quantized,98.49162011173185
51,MLP Baseline,MLP Pruned 25%,91.2290502793296
51,MLP Baseline,MLP Pruned 50%,91.2290502793296
51,MLP Baseline,MLP Pruned 75%,91.2290502793296
51,MLP Baseline,MLP Distilled,72.56983240223464
52,RF Baseline,RF Pruned 50%,90.44692737430168
52,RF Baseline,RF Pruned 75%,84.35754189944134
52,RF Baseline,RF Pruned 87%,78.49162011173185
52,MLP Baseline,MLP Quantized,98.04469273743017
52,MLP Baseline,MLP Pruned 25%,90.05586592178771
52,MLP Baseline,MLP Pruned 50%,87.93296089385476
52,MLP Baseline,MLP Pruned 75%,92.06703910614526
52,MLP Baseline,MLP Distilled,71.1731843575419
53,RF Baseline,RF Pruned 50%,89.60893854748603
53,RF Baseline,RF Pruned 75%,82.62569832402235
53,RF Baseline,RF Pruned 87%,77.26256983240224
53,MLP Baseline,MLP Quantized,98.2122905027933
53,MLP Baseline,MLP Pruned 25%,89.49720670391062
53,MLP Baseline,MLP Pruned 50%,87.87709497206704
53,MLP Baseline,MLP Pruned 75%,90.33519553072625
53,MLP Baseline,MLP Distilled,70.6703910614525
54,RF Baseline,RF Pruned 50%,90.5027932960894
54,RF Baseline,RF Pruned 75%,82.90502793296089
54,RF Baseline,RF Pruned 87%,78.77094972067039
54,MLP Baseline,MLP Quantized,97.6536312849162
54,MLP Baseline,MLP Pruned 25%,90.44692737430168
54,MLP Baseline,MLP Pruned 50%,90.44692737430168
54,MLP Baseline,MLP Pruned 75%,90.44692737430168
54,MLP Baseline,MLP Distilled,74.02234636871509
55,RF Baseline,RF Pruned 50%,88.43575418994413
55,RF Baseline,RF Pruned 75%,82.40223463687151
55,RF Baseline,RF Pruned 87%,75.64245810055866
55,MLP Baseline,MLP Quantized,98.04469273743017
55,MLP Baseline,MLP Pruned 25%,87.59776536312849
55,MLP Baseline,MLP Pruned 50%,89.27374301675978
55,MLP Baseline,MLP Pruned 75%,89.27374301675978
55,MLP Baseline,MLP Distilled,69.88826815642459
56,RF Baseline,RF Pruned 50%,89.60893854748603
56,RF Baseline,RF Pruned 75%,85.19553072625699
56,RF Baseline,RF Pruned 87%,78.37988826815644
56,MLP Baseline,MLP Quantized,97.87709497206704
56,MLP Baseline,MLP Pruned 25%,89.72067039106145
56,MLP Baseline,MLP Pruned 50%,89.72067039106145
56,MLP Baseline,MLP Pruned 75%,89.72067039106145
56,MLP Baseline,MLP Distilled,74.52513966480447
57,RF Baseline,RF Pruned 50%,89.49720670391062
57,RF Baseline,RF Pruned 75%,82.9608938547486
57,RF Baseline,RF Pruned 87%,75.75418994413408
57,MLP Baseline,MLP Quantized,97.70949720670392
57,MLP Baseline,MLP Pruned 25%,89.3854748603352
57,MLP Baseline,MLP Pruned 50%,89.49720670391062
57,MLP Baseline,MLP Pruned 75%,89.49720670391062
57,MLP Baseline,MLP Distilled,76.64804469273743
58,RF Baseline,RF Pruned 50%,91.1731843575419
58,RF Baseline,RF Pruned 75%,84.91620111731844
58,RF Baseline,RF Pruned 87%,78.2122905027933
58,MLP Baseline,MLP Quantized,97.93296089385476
58,MLP Baseline,MLP Pruned 25%,86.36871508379889
58,MLP Baseline,MLP Pruned 50%,86.36871508379889
58,MLP Baseline,MLP Pruned 75%,86.36871508379889
58,MLP Baseline,MLP Distilled,71.62011173184356
59,RF Baseline,RF Pruned 50%,90.44692737430168
59,RF Baseline,RF Pruned 75%,83.74301675977654
59,RF Baseline,RF Pruned 87%,76.4804469273743
