Family,RF Base,RF 50%,RF 75%,RF 87%,MLP Base,MLP Quant,MLP 25%,MLP 50%,MLP 75%,MLP Dist
Adware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Backdoor,0.002,0.002,0.002,0.003,0.018,0.018,0.016,0.016,0.016,0.011
FileInfector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ransomware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riskware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scareware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trojan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trojan_Banker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trojan_Dropper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trojan_SMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trojan_Spy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
